일자,종목명,기간 중 매수,,,기간 중 매도,,,매매비용,손익금액,수익률
,,수량,평균단가,매수금액,수량,평균단가,매도금액,,,
2026/02/12,ACE 미국30년국채액티브(H),1,7665,7665,0,0,0,0,0,0.00
2026/02/12,TIGER 2차전지테마,1,21260,21260,0,0,0,0,0,0.00
2026/02/12,맥쿼리인프라,1,11360,11360,0,0,0,0,0,0.00
2026/02/11,ACE KRX금현물,1,33265,33265,0,0,0,0,0,0.00
2026/02/11,RISE 미국나스닥100,1,27095,27095,0,0,0,0,0,0.00
2026/02/11,ACE 미국S&P500,1,25380,25380,0,0,0,0,0,0.00
2026/02/10,KODEX 미국배당다우존스,0,0,0,3,12558,37675,0,7045,23.00
2026/02/10,SOL 미국배당다우존스,0,0,0,1,13355,13355,0,3733,38.80
2026/02/10,TIGER 미국S&P500배당귀족,0,0,0,1,14010,14010,0,3210,29.72
2026/02/10,TIGER 2차전지테마,1,20740,20740,0,0,0,0,0,0.00
2026/02/09,ACE 미국30년국채액티브(H),3,7576,22730,0,0,0,0,0,0.00
2026/02/09,ACE KRX금현물,1,33345,33345,0,0,0,0,0,0.00
2026/02/09,RISE 미국나스닥100,1,27160,27160,0,0,0,0,0,0.00
2026/02/09,ACE 미국S&P500,1,25460,25460,0,0,0,0,0,0.00
2026/02/09,HANARO 글로벌럭셔리S&P(합성),0,0,0,1,22185,22185,0,3719,20.14
2026/02/06,RISE 미국나스닥100,2,26445,52890,0,0,0,0,0,0.00
2026/02/06,ACE 미국S&P500,2,24920,49840,0,0,0,0,0,0.00
2026/02/06,HANARO 글로벌럭셔리S&P(합성),0,0,0,1,21830,21830,0,3364,18.22
2026/02/06,KIWOOM 200TR,1,97450,97450,0,0,0,0,0,0.00
2026/02/05,RISE 미국나스닥100,2,26855,53710,0,0,0,0,0,0.00
2026/02/05,ACE 미국S&P500,2,25212,50425,0,0,0,0,0,0.00
2026/02/05,HANARO 글로벌럭셔리S&P(합성),0,0,0,1,22005,22005,0,3539,19.16
2026/02/03,TIGER 미국S&P500동일가중,1,12155,12155,0,0,0,0,0,0.00
2026/02/03,RISE 미국나스닥100,1,27590,27590,0,0,0,0,0,0.00
2026/02/03,ACE 미국S&P500,1,25365,25365,0,0,0,0,0,0.00
2026/02/03,HANARO 글로벌럭셔리S&P(합성),0,0,0,4,21661,86645,0,12781,17.30
2026/02/03,TIGER 2차전지테마,1,20570,20570,0,0,0,0,0,0.00
2026/02/03,KIWOOM 200TR,1,99300,99300,0,0,0,0,0,0.00
2026/02/02,RISE 미국나스닥100,1,27190,27190,0,0,0,0,0,0.00
2026/02/02,HANARO 글로벌럭셔리S&P(합성),0,0,0,9,21716,195445,0,29245,17.60
2026/02/02,TIGER 반도체,0,0,0,3,86348,259045,0,142861,122.96
2026/01/29,KODEX 미국배당다우존스,1,11405,11405,0,0,0,0,0,0.00
2026/01/29,ACE 미국30년국채액티브(H),1,7565,7565,0,0,0,0,0,0.00
2026/01/28,RISE 미국S&P500,1,21575,21575,0,0,0,0,0,0.00
2026/01/28,RISE 미국나스닥100,1,27435,27435,0,0,0,0,0,0.00
2026/01/28,TIGER 2차전지테마,1,21730,21730,0,0,0,0,0,0.00
2026/01/27,KODEX 미국반도체,1,39675,39675,0,0,0,0,0,0.00
2026/01/27,RISE 미국나스닥100,1,27555,27555,0,0,0,0,0,0.00
2026/01/23,TIGER 반도체,0,0,0,5,75626,378130,0,184490,95.27
2026/01/22,TIGER 미국나스닥100(H),1,20065,20065,0,0,0,0,0,0.00
2026/01/22,TIGER 미국S&P500(H),1,16195,16195,0,0,0,0,0,0.00
2026/01/22,RISE 미국S&P500,1,21905,21905,0,0,0,0,0,0.00
2026/01/22,RISE 미국나스닥100,1,27560,27560,0,0,0,0,0,0.00
2026/01/22,ACE 미국S&P500,1,25445,25445,0,0,0,0,0,0.00
2026/01/21,TIGER 미국S&P500배당귀족,0,0,0,3,13580,40740,0,8341,25.74
2026/01/21,RISE 미국S&P500,1,21675,21675,0,0,0,0,0,0.00
2026/01/21,RISE 미국나스닥100,1,27195,27195,0,0,0,0,0,0.00
2026/01/21,ACE 미국S&P500,1,25185,25185,0,0,0,0,0,0.00
2026/01/20,KIWOOM 200TR,0,0,0,1,93530,93530,0,45940,96.53
2026/01/20,TIGER 반도체,0,0,0,1,75145,75145,0,36417,94.03
2026/01/19,ACE 미국30년국채액티브(H),3,7631,22895,0,0,0,0,0,0.00
2026/01/08,RISE 미국나스닥100,1,27375,27375,0,0,0,0,0,0.00
2026/01/08,ACE 미국S&P500,1,25150,25150,0,0,0,0,0,0.00
