일자,종목명,기간 중 매수,,,기간 중 매도,,,매매비용,손익금액,수익률
,,수량,평균단가,매수금액,수량,평균단가,매도금액,,,
2026/02/13,KODEX 미국배당다우존스,0,0,0,10,12472,124725,3316,18985,17.95
2026/02/13,TIGER 미국배당다우존스타겟커버드콜2호,0,0,0,6,11121,66730,1323,6102,10.06
2026/02/13,SK리츠,15,5607,84110,0,0,0,0,0,0.00
2026/02/13,KODEX 미국반도체,0,0,0,2,40255,80510,4082,22412,38.58
2026/02/13,KODEX 신재생에너지액티브,0,0,0,3,36700,110100,6,9123,9.03
2026/02/13,ESR켄달스퀘어리츠,10,4470,44700,0,0,0,0,0,0.00
2026/02/13,KODEX 미국30년국채울트라선물(H),1,7725,7725,0,0,0,0,0,0.00
2026/02/13,신한알파리츠,1,5950,5950,0,0,0,0,0,0.00
2026/02/13,KODEX 필수소비재,0,0,0,6,9627,57765,3,1687,3.01
2026/02/13,PLUS 고배당주,0,0,0,8,27435,219480,9,55791,34.08
2026/02/13,TIGER 증권,3,17766,53300,0,0,0,0,0,0.00
2026/02/13,KODEX 은행,0,0,0,13,17090,222170,11,60749,37.63
2026/02/13,JYP Ent.,1,70500,70500,0,0,0,0,0,0.00
2026/02/13,LG유플러스,0,0,0,3,17080,51240,102,3204,6.67
2026/02/13,SK텔레콤,0,0,0,1,79800,79800,161,25523,47.02
2026/02/13,삼성전자우,0,0,0,1,126600,126600,258,47916,60.90
2026/02/12,SOL 미국테크TOP10,1,15855,15855,0,0,0,0,0,0.00
2026/02/12,ACE 미국30년국채액티브(H),1,7665,7665,0,0,0,0,0,0.00
2026/02/12,ACE KRX금현물,2,33082,66165,0,0,0,0,0,0.00
2026/02/12,KODEX 신재생에너지액티브,2,37467,74935,0,0,0,0,0,0.00
2026/02/12,RISE 미국S&P500,1,21685,21685,0,0,0,0,0,0.00
2026/02/12,RISE 미국나스닥100,1,26815,26815,0,0,0,0,0,0.00
2026/02/12,ESR켄달스퀘어리츠,1,4425,4425,0,0,0,0,0,0.00
2026/02/12,TIGER 2차전지TOP10,6,10685,64110,0,0,0,0,0,0.00
2026/02/12,TIGER 미국S&P500,2,24872,49745,0,0,0,0,0,0.00
2026/02/12,롯데리츠,10,4557,45575,0,0,0,0,0,0.00
2026/02/12,KODEX 미국30년국채울트라선물(H),6,7653,45920,0,0,0,0,0,0.00
2026/02/12,KODEX 필수소비재,1,9605,9605,0,0,0,0,0,0.00
2026/02/12,PLUS 고배당주,2,27177,54355,0,0,0,0,0,0.00
2026/02/12,TIGER 증권,0,0,0,10,16655,166550,9,47370,39.75
2026/02/12,맥쿼리인프라,3,11363,34090,0,0,0,0,0,0.00
2026/02/12,하나금융지주,0,0,0,1,126500,126500,259,36007,39.79
2026/02/12,신한지주,0,0,0,2,103500,207000,420,78025,60.50
2026/02/12,KT,0,0,0,2,65000,130000,266,28163,27.65
2026/02/11,SOL 미국테크TOP10,2,16122,32245,0,0,0,0,0,0.00
2026/02/11,KB스타리츠,3,3528,10585,0,0,0,0,0,0.00
2026/02/11,ACE KRX금현물,1,33190,33190,0,0,0,0,0,0.00
2026/02/11,SK리츠,0,0,0,3,5576,16730,32,1583,10.45
2026/02/11,KODEX 신재생에너지액티브,3,37343,112030,0,0,0,0,0,0.00
2026/02/11,RISE 미국S&P500,2,21902,43805,0,0,0,0,0,0.00
2026/02/11,RISE 미국나스닥100,2,27060,54120,0,0,0,0,0,0.00
2026/02/11,TIGER 2차전지TOP10,6,10324,61945,0,0,0,0,0,0.00
2026/02/11,TIGER 미국S&P500,2,25092,50185,0,0,0,0,0,0.00
2026/02/11,우리금융지주,0,0,0,2,37700,75400,152,26447,54.03
2026/02/11,KODEX 미국30년국채울트라선물(H),1,7695,7695,0,0,0,0,0,0.00
2026/02/11,KODEX 필수소비재,10,9594,95945,0,0,0,0,0,0.00
2026/02/11,iM금융지주,0,0,0,3,19520,58560,117,15335,35.48
2026/02/11,맥쿼리인프라,1,11250,11250,0,0,0,0,0,0.00
2026/02/11,JYP Ent.,3,72000,216000,0,0,0,0,0,0.00
2026/02/11,LG유플러스,3,16553,49660,0,0,0,0,0,0.00
2026/02/10,SOL 미국테크TOP10,3,16186,48560,0,0,0,0,0,0.00
2026/02/10,TIGER 미국배당다우존스,0,0,0,3,14595,43785,1,5904,15.59
2026/02/10,TIGER 미국나스닥100(H),2,19852,39705,0,0,0,0,0,0.00
2026/02/10,ACE KRX금현물,2,33277,66555,0,0,0,0,0,0.00
2026/02/10,KODEX 신재생에너지액티브,1,36660,36660,0,0,0,0,0,0.00
2026/02/10,RISE 미국S&P500,3,21936,65810,0,0,0,0,0,0.00
2026/02/10,TIGER 차이나항셍테크,6,8804,52825,0,0,0,0,0,0.00
2026/02/10,RISE 미국나스닥100,3,27136,81410,0,0,0,0,0,0.00
2026/02/10,TIGER 2차전지TOP10,2,10277,20555,0,0,0,0,0,0.00
