일자,종목명,기간 중 매수,,,기간 중 매도,,,매매비용,손익금액,수익률
,,수량,평균단가,매수금액,수량,평균단가,매도금액,,,
2026/02/13,TIGER 미국S&P500동일가중,1,12190,12190,0,0,0,0,0,0.00
2026/02/13,TIGER 미국S&P500타겟데일리커버드콜,1,11605,11605,0,0,0,0,0,0.00
2026/02/13,SOL 미국테크TOP10,1,15430,15430,0,0,0,0,0,0.00
2026/02/13,ACE 미국빅테크TOP7 Plus,2,21207,42415,0,0,0,0,0,0.00
2026/02/13,TIGER 미국나스닥100(H),1,19415,19415,0,0,0,0,0,0.00
2026/02/13,TIGER 미국S&P500배당귀족,2,13927,27855,0,0,0,0,0,0.00
2026/02/13,RISE 미국S&P500,4,21323,85295,0,0,0,0,0,0.00
2026/02/13,RISE 미국나스닥100,3,26291,78875,0,0,0,0,0,0.00
2026/02/13,TIGER 골드선물(H),2,30045,60090,0,0,0,0,0,0.00
2026/02/13,KODEX 미국S&P500선물(H),1,29735,29735,0,0,0,0,0,0.00
2026/02/12,SOL 미국테크TOP10,1,15855,15855,0,0,0,0,0,0.00
2026/02/12,ACE 미국빅테크TOP7 Plus,2,21782,43565,0,0,0,0,0,0.00
2026/02/12,TIGER 글로벌AI&로보틱스 INDXX,2,15517,31035,0,0,0,0,0,0.00
2026/02/12,KODEX 인도Nifty50,3,13950,41850,0,0,0,0,0,0.00
2026/02/12,RISE 미국S&P500,2,21687,43375,0,0,0,0,0,0.00
2026/02/12,RISE 미국나스닥100,2,26817,53635,0,0,0,0,0,0.00
2026/02/12,TIGER 2차전지TOP10,6,10668,64010,0,0,0,0,0,0.00
2026/02/12,TIGER 골드선물(H),2,30527,61055,0,0,0,0,0,0.00
2026/02/12,KODEX 미국30년국채울트라선물(H),3,7653,22960,0,0,0,0,0,0.00
2026/02/12,PLUS 고배당주,1,27180,27180,0,0,0,0,0,0.00
2026/02/12,TIGER 반도체,2,92805,185610,0,0,0,0,0,0.00
2026/02/12,TIME 글로벌탑픽액티브,1,11110,11110,0,0,0,0,0,0.00
2026/02/12,TIGER 토탈월드스탁액티브,1,12300,12300,0,0,0,0,0,0.00
2026/02/11,SOL 미국테크TOP10,1,16130,16130,0,0,0,0,0,0.00
2026/02/11,ACE 미국빅테크TOP7 Plus,1,22180,22180,0,0,0,0,0,0.00
2026/02/11,TIGER 미국나스닥100(H),1,19825,19825,0,0,0,0,0,0.00
2026/02/11,KODEX TDF2040액티브,1,15485,15485,0,0,0,0,0,0.00
2026/02/11,RISE 미국S&P500,1,21905,21905,0,0,0,0,0,0.00
2026/02/11,RISE 미국나스닥100,2,27077,54155,0,0,0,0,0,0.00
2026/02/11,TIGER 2차전지TOP10,1,10330,10330,0,0,0,0,0,0.00
2026/02/11,KODEX 미국S&P500선물(H),1,30290,30290,0,0,0,0,0,0.00
2026/02/11,TIME 글로벌탑픽액티브,2,11077,22155,0,0,0,0,0,0.00
2026/02/11,TIGER 토탈월드스탁액티브,1,12415,12415,0,0,0,0,0,0.00
2026/02/10,SOL 미국테크TOP10,2,16170,32340,0,0,0,0,0,0.00
2026/02/10,ACE 미국빅테크TOP7 Plus,2,22245,44490,0,0,0,0,0,0.00
2026/02/10,TIGER 글로벌AI&로보틱스 INDXX,1,15645,15645,0,0,0,0,0,0.00
2026/02/10,TIGER 미국배당다우존스,0,0,0,5,14601,73005,2,13997,23.72
