일자,종목명,기간 중 매수,,,기간 중 매도,,,매매비용,손익금액,수익률
,,수량,평균단가,매수금액,수량,평균단가,매도금액,,,
2026/02/13,TIGER 조선TOP10,2,28230,56460,0,0,0,0,0,0.00
2026/02/13,KODEX AI전력핵심설비,1,30155,30155,0,0,0,0,0,0.00
2026/02/13,ACE KPOP포커스,13,12515,162695,0,0,0,0,0,0.00
2026/02/13,KoAct 바이오헬스케어액티브,1,22780,22780,0,0,0,0,0,0.00
2026/02/13,PLUS K방산,2,64835,129670,0,0,0,0,0,0.00
2026/02/13,ACE KRX금현물,2,32492,64985,0,0,0,0,0,0.00
2026/02/13,TIGER CD금리투자KIS(합성),1,57107,57107,0,0,0,0,0,0.00
2026/02/13,TIGER 골드선물(H),4,29947,119790,0,0,0,0,0,0.00
2026/02/13,TIGER 200 건설,10,6683,66830,0,0,0,0,0,0.00
2026/02/13,WON K-글로벌수급상위,3,12501,37505,0,0,0,0,0,0.00
2026/02/12,TIGER 조선TOP10,3,28185,84555,0,0,0,0,0,0.00
2026/02/12,KODEX AI전력핵심설비,3,30001,90005,0,0,0,0,0,0.00
2026/02/12,ACE KPOP포커스,5,12354,61770,0,0,0,0,0,0.00
2026/02/12,HANARO 원자력iSelect,3,63258,189775,2,63775,127550,31,20385,19.02
2026/02/12,ACE KRX금현물,2,33082,66165,0,0,0,0,0,0.00
2026/02/12,TIGER 골드선물(H),2,30487,60975,0,0,0,0,0,0.00
2026/02/12,솔루엠,2,17830,35660,0,0,0,0,0,0.00
2026/02/12,KODEX 코스피,2,56415,112830,0,0,0,0,0,0.00
2026/02/12,KODEX 반도체,7,88535,619750,0,0,0,0,0,0.00
2026/02/11,TIGER 조선TOP10,2,28007,56015,0,0,0,0,0,0.00
2026/02/11,KODEX AI전력핵심설비,1,29500,29500,0,0,0,0,0,0.00
2026/02/11,ACE KPOP포커스,6,12521,75130,0,0,0,0,0,0.00
2026/02/11,KoAct 바이오헬스케어액티브,2,23447,46895,0,0,0,0,0,0.00
2026/02/11,PLUS K방산,2,64212,128425,0,0,0,0,0,0.00
2026/02/11,HANARO 원자력iSelect,1,63490,63490,0,0,0,0,0,0.00
2026/02/11,ACE KRX금현물,2,33165,66330,0,0,0,0,0,0.00
2026/02/10,TIGER 조선TOP10,1,27795,27795,0,0,0,0,0,0.00
2026/02/10,KODEX AI전력핵심설비,2,29145,58290,0,0,0,0,0,0.00
2026/02/10,ACE KPOP포커스,2,12240,24480,0,0,0,0,0,0.00
2026/02/10,HANARO 원자력iSelect,2,62315,124630,0,0,0,0,0,0.00
2026/02/10,ACE KRX금현물,2,33220,66440,0,0,0,0,0,0.00
2026/02/10,TIGER 골드선물(H),1,30255,30255,0,0,0,0,0,0.00
2026/02/10,솔루엠,1,16950,16950,0,0,0,0,0,0.00
2026/02/10,TIGER 200 건설,6,6429,38575,20,6465,129300,30,27474,26.98
2026/02/09,TIGER 조선TOP10,2,28640,57280,0,0,0,0,0,0.00
2026/02/09,KODEX AI전력핵심설비,2,29037,58075,0,0,0,0,0,0.00
2026/02/09,ACE KPOP포커스,1,12195,12195,0,0,0,0,0,0.00
2026/02/09,PLUS K방산,2,65770,131540,0,0,0,0,0,0.00
2026/02/09,HANARO 원자력iSelect,2,62445,124890,0,0,0,0,0,0.00
2026/02/09,ACE KRX금현물,4,33322,133290,0,0,0,0,0,0.00
2026/02/09,TIGER 골드선물(H),1,30065,30065,0,0,0,0,0,0.00
2026/02/09,솔루엠,1,16550,16550,0,0,0,0,0,0.00
2026/02/09,KODEX 코스피,2,54352,108705,0,0,0,0,0,0.00
2026/02/09,TIGER 200 건설,10,6317,63175,0,0,0,0,0,0.00
2026/02/06,TIGER 조선TOP10,0,0,0,33,27000,891000,246,-27090,-2.95
2026/02/06,PLUS K방산,0,0,0,7,60507,423550,123,-44892,-9.58
2026/02/06,ACE KRX금현물,0,0,0,60,31011,1860690,13379,70279,3.93
2026/02/06,TIGER 2차전지TOP10,0,0,0,19,9895,188017,51,-8229,-4.19
2026/02/06,TIGER 바이오TOP10,0,0,0,38,8365,317870,84,-6699,-2.06
2026/02/06,TIGER 골드선물(H),0,0,0,25,28276,706905,6944,37005,5.52
2026/02/06,TIGER 화장품,0,0,0,49,3515,172235,45,-9024,-4.98
2026/02/06,KODEX 코스피,0,0,0,20,50630,1012600,265,87958,9.51
2026/02/06,TIGER 200 건설,0,0,0,35,5876,205675,48,32103,18.50
2026/02/06,KODEX 반도체,0,0,0,6,80639,483835,126,54931,12.81
2026/02/06,SK텔레콤,0,0,0,1,69800,69800,154,15031,27.44
2026/02/05,HANARO 원자력iSelect,1,61320,61320,0,0,0,0,0,0.00
2026/02/05,ACE KRX금현물,2,34047,68095,0,0,0,0,0,0.00
2026/02/05,TIGER 2차전지TOP10,6,10554,63325,0,0,0,0,0,0.00
2026/02/05,TIGER 골드선물(H),2,30140,60280,0,0,0,0,0,0.00
2026/02/05,TIGER 화장품,15,3715,55725,0,0,0,0,0,0.00
2026/02/05,한화솔루션,0,0,0,159,35801,5692400,12694,461833,8.83
2026/02/04,TIGER 조선TOP10,0,0,0,7,30100,210700,55,15951,8.19
2026/02/04,KODEX AI전력핵심설비,0,0,0,15,29045,435675,107,71560,19.65
2026/02/04,HANARO 원자력iSelect,2,61957,123915,6,60865,365190,92,62816,20.77
2026/02/04,ACE KRX금현물,3,34691,104075,0,0,0,0,0,0.00
2026/02/04,TIGER 2차전지TOP10,7,10480,73360,5,10505,52525,13,2920,5.89
2026/02/04,TIGER 화장품,15,3789,56845,0,0,0,0,0,0.00
2026/02/04,KODEX 코스피,1,54655,54655,3,54655,163965,41,25843,18.71
